"CombinaisonID","Replicates","Code","mix_ID","decay","N","C","P","lignin","cellulose","hemicellulose","wsc","CN","CP","NP"
"MFL1","A","MFL1A","fPINSYL","0.434353355","0.392835647","50.47607168","0.0306675","23.44604422","26.2631144","16.43841716","33.85242422","128.4915768","1645.914119","12.80950985"
"MFL1","C","MFL1C","fPINSYL","0.434353355","0.392835647","50.47607168","0.0306675","23.44604422","26.2631144","16.43841716","33.85242422","128.4915768","1645.914119","12.80950985"
"MFL1","D","MFL1D","fPINSYL","0.434353355","0.392835647","50.47607168","0.0306675","23.44604422","26.2631144","16.43841716","33.85242422","128.4915768","1645.914119","12.80950985"
"MFL1","F","MFL1F","fPINSYL","0.434353355","0.392835647","50.47607168","0.0306675","23.44604422","26.2631144","16.43841716","33.85242422","128.4915768","1645.914119","12.80950985"
"MFL2","A","MFL2A","fPICABI","0.643130129","0.910458386","46.60073344","0.052862614","27.02562922","19.42787127","16.16041606","37.38608344","51.18381483","881.5442422","17.22310549"
"MFL2","C","MFL2C","fPICABI","0.643130129","0.910458386","46.60073344","0.052862614","27.02562922","19.42787127","16.16041606","37.38608344","51.18381483","881.5442422","17.22310549"
"MFL2","D","MFL2D","fPICABI","0.643130129","0.910458386","46.60073344","0.052862614","27.02562922","19.42787127","16.16041606","37.38608344","51.18381483","881.5442422","17.22310549"
"MFL2","F","MFL2F","fPICABI","0.643130129","0.910458386","46.60073344","0.052862614","27.02562922","19.42787127","16.16041606","37.38608344","51.18381483","881.5442422","17.22310549"
"MFL3","A","MFL3A","fBETPEN","0.488936428","0.706276993","50.57753372","0.102700345","33.79405989","15.15632015","15.96722987","35.0823901","71.61147004","492.4767653","6.877065434"
"MFL3","C","MFL3C","fBETPEN","0.488936428","0.706276993","50.57753372","0.102700345","33.79405989","15.15632015","15.96722987","35.0823901","71.61147004","492.4767653","6.877065434"
"MFL3","D","MFL3D","fBETPEN","0.488936428","0.706276993","50.57753372","0.102700345","33.79405989","15.15632015","15.96722987","35.0823901","71.61147004","492.4767653","6.877065434"
"MFL3","F","MFL3F","fBETPEN","0.488936428","0.706276993","50.57753372","0.102700345","33.79405989","15.15632015","15.96722987","35.0823901","71.61147004","492.4767653","6.877065434"
"MFL4","A","MFL4A","fPICABIfPINSYL","0.443418022","0.651647016","48.53840256","0.041765057","25.23583672","22.84549284","16.29941661","35.61925383","74.48572822","1162.177322","15.60268457"
"MFL4","C","MFL4C","fPICABIfPINSYL","0.443418022","0.651647016","48.53840256","0.041765057","25.23583672","22.84549284","16.29941661","35.61925383","74.48572822","1162.177322","15.60268457"
"MFL4","D","MFL4D","fPICABIfPINSYL","0.443418022","0.651647016","48.53840256","0.041765057","25.23583672","22.84549284","16.29941661","35.61925383","74.48572822","1162.177322","15.60268457"
"MFL4","F","MFL4F","fPICABIfPINSYL","0.443418022","0.651647016","48.53840256","0.041765057","25.23583672","22.84549284","16.29941661","35.61925383","74.48572822","1162.177322","15.60268457"
"MFL5","A","MFL5A","fBETPENfPINSYL","0.447850957","0.54955632","50.5268027","0.066683923","28.62005205","20.70971728","16.20282351","34.46740716","91.94108205","757.705916","8.241211645"
"MFL5","C","MFL5C","fBETPENfPINSYL","0.447850957","0.54955632","50.5268027","0.066683923","28.62005205","20.70971728","16.20282351","34.46740716","91.94108205","757.705916","8.241211645"
"MFL5","D","MFL5D","fBETPENfPINSYL","0.447850957","0.54955632","50.5268027","0.066683923","28.62005205","20.70971728","16.20282351","34.46740716","91.94108205","757.705916","8.241211645"
"MFL5","F","MFL5F","fBETPENfPINSYL","0.447850957","0.54955632","50.5268027","0.066683923","28.62005205","20.70971728","16.20282351","34.46740716","91.94108205","757.705916","8.241211645"
"MFL6","A","MFL6A","fBETPENfPICABI","0.516774827","0.808367689","48.58913358","0.07778148","30.40984456","17.29209571","16.06382296","36.23423677","60.10771362","624.6876985","10.3928042"
"MFL6","C","MFL6C","fBETPENfPICABI","0.516774827","0.808367689","48.58913358","0.07778148","30.40984456","17.29209571","16.06382296","36.23423677","60.10771362","624.6876985","10.3928042"
"MFL6","D","MFL6D","fBETPENfPICABI","0.516774827","0.808367689","48.58913358","0.07778148","30.40984456","17.29209571","16.06382296","36.23423677","60.10771362","624.6876985","10.3928042"
"MFL6","F","MFL6F","fBETPENfPICABI","0.516774827","0.808367689","48.58913358","0.07778148","30.40984456","17.29209571","16.06382296","36.23423677","60.10771362","624.6876985","10.3928042"
"MFL7","A","MFL7A","fBETPENfPICABIfPINSYL","0.532785808","0.669857009","49.21811295","0.06207682","28.08857778","20.28243527","16.18868769","35.44029925","73.47555122","792.8581554","10.79077519"
"MFL7","C","MFL7C","fBETPENfPICABIfPINSYL","0.532785808","0.669857009","49.21811295","0.06207682","28.08857778","20.28243527","16.18868769","35.44029925","73.47555122","792.8581554","10.79077519"
"MFL7","D","MFL7D","fBETPENfPICABIfPINSYL","0.532785808","0.669857009","49.21811295","0.06207682","28.08857778","20.28243527","16.18868769","35.44029925","73.47555122","792.8581554","10.79077519"
"MFL7","F","MFL7F","fBETPENfPICABIfPINSYL","0.532785808","0.669857009","49.21811295","0.06207682","28.08857778","20.28243527","16.18868769","35.44029925","73.47555122","792.8581554","10.79077519"
"MGL1","A","MGL1A","gFAGSYL","0.485813063","0.931194544","45.10514323","0.044772964","24.25364796","20.43509613","15.34463824","39.96661767","48.43793762","1007.41919","20.79814377"
"MGL1","C","MGL1C","gFAGSYL","0.485813063","0.931194544","45.10514323","0.044772964","24.25364796","20.43509613","15.34463824","39.96661767","48.43793762","1007.41919","20.79814377"
"MGL1","D","MGL1D","gFAGSYL","0.485813063","0.931194544","45.10514323","0.044772964","24.25364796","20.43509613","15.34463824","39.96661767","48.43793762","1007.41919","20.79814377"
"MGL1","F","MGL1F","gFAGSYL","0.485813063","0.931194544","45.10514323","0.044772964","24.25364796","20.43509613","15.34463824","39.96661767","48.43793762","1007.41919","20.79814377"
"MGL10","A","MGL10A","gFRAEXCgPICABI","0.848981696","1.745163361","46.13801003","0.087301989","18.18649251","16.79853926","16.29583548","48.71913275","26.43764535","528.4874996","19.989961"
"MGL10","C","MGL10C","gFRAEXCgPICABI","0.848981696","1.745163361","46.13801003","0.087301989","18.18649251","16.79853926","16.29583548","48.71913275","26.43764535","528.4874996","19.989961"
"MGL10","D","MGL10D","gFRAEXCgPICABI","0.848981696","1.745163361","46.13801003","0.087301989","18.18649251","16.79853926","16.29583548","48.71913275","26.43764535","528.4874996","19.989961"
"MGL10","F","MGL10F","gFRAEXCgPICABI","0.848981696","1.745163361","46.13801003","0.087301989","18.18649251","16.79853926","16.29583548","48.71913275","26.43764535","528.4874996","19.989961"
"MGL11","A","MGL11A","gFRAEXCgQUESP","0.980736673","1.446854899","45.85300891","0.098067335","21.2808501","15.29091423","14.54095635","48.88727932","31.69150474","467.5665863","14.75368841"
"MGL11","C","MGL11C","gFRAEXCgQUESP","0.980736673","1.446854899","45.85300891","0.098067335","21.2808501","15.29091423","14.54095635","48.88727932","31.69150474","467.5665863","14.75368841"
"MGL11","D","MGL11D","gFRAEXCgQUESP","0.980736673","1.446854899","45.85300891","0.098067335","21.2808501","15.29091423","14.54095635","48.88727932","31.69150474","467.5665863","14.75368841"
"MGL11","F","MGL11F","gFRAEXCgQUESP","0.980736673","1.446854899","45.85300891","0.098067335","21.2808501","15.29091423","14.54095635","48.88727932","31.69150474","467.5665863","14.75368841"
"MGL12","A","MGL12A","gACEPSEgFRAEXC","1.175275378","1.515926431","42.77594884","0.047005858","18.18143688","15.29563136","13.76762483","52.75530693","28.21769446","910.0131402","32.24973399"
